CoachName,CountryID,DisciplineID,CoachID
SCHILLING April,44,4,313
SEKULIC Aleksander,132,4,314
SEO Chun Oh,111,35,315
SERMANNI Tom,112,16,316
SHAHINTAB Mehran,7,4,317
SHAHNAZI Shahbaz,30,12,318
SHAW Graham,112,26,319
SHAWKY Gharib,13,16,320
SIAM Zaghloul,13,16,321
SIGURDSSON Dagur,24,5,322
SIMIYU Innocent,63,35,323
SINGH Shivendra,42,26,324
SMITH Darren,112,26,325
SMITH Mark,26,10,326
SOLBERG Glenn,54,5,327
SOYEZ Frederic,2,26,328
SPERAW John,11,36,329
SPERONI Stefania,55,12,330
STALEY Dawn,11,4,331
STANIFORTH Dave,10,26,332
STAS Jacques,14,4,333
SUNDHAGE Pia Mariane,52,16,334
SVETLICHNAYA Aliona,106,12,335
SZAUDER Gabor,26,12,336
SZAUDER Nora,134,12,337
TAGLE German,5,16,338
TAKAKURA Asako,24,16,339
TAKITA Risako,24,12,340
TARR Heather,11,10,341
TARRES CAMPA Ana,102,12,342
TERZIC Zoran,85,36,343
THOMAIDIS Lisa,26,4,344
TILLIE Laurent,4,36,345
TOMOMATSU Yumiko,3,12,346
TUCAK Ivica,148,31,347
TURNER Glenn,112,26,348
UDOKA Ime,11,4,349
UDOVICIC Dejan,11,31,350
UTKIN Volodymyr,86,12,351
UTSUGI Reika,24,10,352
van GINKEL Robin,36,26,353
van GUNDY Jeff,11,4,354
VASQUEZ Diego,103,4,355
VEGA HERRERO Anna,2,12,356
VILLEGAS Orlando,103,36,357
VITORINO de SOUZA Marcelo,63,36,358
VIVER ARZA Carlos Enrique,2,5,359
VLACHOS Theodoros,102,31,360
VORONOVA Elena,32,12,361
WALL Michael,11,36,362
WALSH Tim,10,35,363
WANG Jie,71,12,364
WANG Yang,71,26,365
WEINSTEIN Jerry,11,10,366
WIEGMAN Sarina,9,16,367
WIRTH Oscar,5,16,368
WOELFLIN Roberto Osvaldo,84,36,369
WOICKI Pawel,50,36,370
WRIGHT Jerold,11,4,371
XU Limin,71,4,372
YAMAJI Noriko,24,10,373
YUAN Lingxi,71,36,374
YURKIN Sergey,32,36,375
ZAITSEVA Olesia,86,12,376
ZAMORA PEDREIRA Javier,2,4,377
ZAMPIERI Francesca,195,12,378
ZHANG Xiaohuan,71,12,379
ZIJP Simon,9,26,380
ZONDI Nkuliso,36,26,381
